rating,comment
1,"Hasta el momento el único detalle es que hay momentos en los que fallan las llamadas se desconecta de la célula y no es detalle de la operadora ni la cobertura porque con un xiaomi mi play las llamadas eran perfectas, supongo que trae algún detalle de antena, de ahí en fuera todo bien, no excelente pero bien, aceptable."
1,"Por el precio es muy buen celular, sólo las cámaras no son de lo mejor, pero tampoco son malas."
1,Excelente teléfono. El color muy padre junto con el diseño. Muy recomendable.
1,"A mi esposo le encantó ya que es liviano, la imagen es muy clara, funciona muy bien, tiene mucha capacidad de almacenamiento, la batería si le dura bastante tiempo y se ve muy bonito de hecho la gente que lo a visto piensa que es mucho más caro de su precio. Muy satisfechos con la compra. Recomendado."
0,No es el producto que encargué. Favor de verificar. No puede ser que jueguen así con la economía de la gente.
0,"El celular comenzó a alentarse a los pocos días, se trababa seguido posteriormente comenzó a reiniciarse solo y después ya no prendía y solo quedaba en miui. Prácticamente fue una mala compra y dinero tirado a la basura, ya no me hicieron devolución ni garantía."
0,"Todo bien en precio y función pero los juegos me los corre fatal, no sé notan sus 8gb de ram, ni mi oppo a54 de 4gb me hace ruidos horribles cuando juego y no se traba tanto como este celular. Voy a pedir devolución de dinero o cambio de equipo."
1,"Éste tira de luz led que compré para adornar mi habitación me gustó demasiado ya que emite una luz muy brillante que se nota inmediatamante de muy buena calidad. Es una tira muy fácil de instalar ya que solo es cuestion de despegar el plastico y colocar con fuerza, asimismo para controlarla tienes varias opciones ya que trae incluido un control remoto o también puedes controlarlo mediante tu teléfono celular vía bluetooth al descargar una aplicación, con cualquiera de ellas puedes tener control tanto de la intensidad del brillo pero tambien puedes elegir el color que desees, también puedes tener el control de la música y sobre todo me gustó mucho que incluye micrófono. Éstas tiras las puedes amoldar y colocar en el lugar que quieras ya que se pueden recortar a la medida que desees y volverlas a reutilizar en cualquier momento, son unas tiras impermeables que se pueden colocar tanto en interiores pero también en exteriores ya que son unas tiras que no se calientan y soportan altas temperaturas y otras condiciones del clima. Tienen una gran variedad de colores, además el precio me parece bastante justo ya que la calidad y todo el funcionamiento corresponden perfectamente."
1,"Súper padre! me alcanzó perfecto para todo el cuarto, se pegó bien, la luz es fuerte y tiene diferentes modos, muchísimos colores, diferentes potencias y puede brillar al ritmo de la música 🥳🥳 increíble producto, súper buen precio vale la pena !! 🩷."
1,"Este producto era el que estaba buscando durante mucho tiempo, y no me equivoqué al comprarlo. Estás tiradas letras coloque en mi habitación y quedaron excelentes la instalación fue realmente fácil ya que se adhieren a la pared y hasta ahora después de tiempo no se ha despegado. Con 30 metros es más que suficiente para poder adornar cualquier habitación de tamaño medio a grande, me gusta que las puedo controlar mediante el control o también desde la aplicación del celular para controlar el color y la intensidad además de diferentes patrones cómo flash y estroboscópica. Es por mucho la mejor opción en cuanto al precio x 30 m. Incluye lo que describe en la publicación, hasta el manual de instrucciones el cual viene muy claro. Estoy contento con esta compra."
1,"Es fácil de instalar, es la segunda vez que compro dentro de la plataforma este tipo de luces led, solo que las primeras que compré no tenían wifi, me gusto por que puedo cambiar los colores desde el celular o bien vincularla con mi asistente inteligente y controlarla por voz, se agradece que además venga incluido un control remoto para de igual forma controlar los modos de luces.
La calidad es realmente increible la recomiendo y puedo utilizarla en todo momento sin miedo a que se dañen, son de gran calidad."
1,"Me pareció muy bien producto, su iluminación es fuerte, es muy fácil de instalar con el pegamento que trae se adhiere muy fácil y muy fuerte a la pared, a los muebles y a las pantallas."
1,"El producto está bien, solo que no se puede conectar con alexa, únicamente tiene bluetooth y no wifi."
1,"Excelentes luces, tiene una excelente calidad en los materiales y respecto a la instalación es muy fácil ya que trae todos los elementos para colocarla en donde prefieras, la tira posee dos rollos así que puedes usar solo un rollo para espacios más pequeños, la tira de luz se puede configurar en distintos modos de efectos de luz y esto se puede hacer desde el control remoto que trae o por medio de la aplicación, lo cual es una maravilla pues ahí también se puede configurar el modo de la luz e incluso se puede programar para encenderse a ciertas horas o apagardes después de algún tiempo, es una excelente tira de luz led, la recomiendo ampliamente."
1,"Es fácil de instalar y si vienen completos los 30 m. Que fue lo que yo compré, la adhesión es muy fuerte pero se ve que aguanta y la iluminación si es muy buena. Hasta ahorano me ha fallado en ningún aspecto. Están perfectas para un lugar grande."
1,"La tira de luces tiene una gran variedad de colores vivos, es de gran tamaño y fácil de instalar, la coloque por toda la sala, hace que se vea la casa con un ambiente más dinámico y bonito, la sincronice con alexa y es muy fácil de manejar, le pido a alexa que encienda, apague o cambie de color la tira de luces. Además, me gusta que se sincroniza con la música y cambia de color al ritmo de la música, es una buen producto por su precio y calidad."
0,Ni prendieron esas madres.
1,Facil de instalar y usar.
0,"Lo compre a finales de agosto y lo puse a principios de septiembre debido a unos temas que tenía.
El 1er més me pareció excelente y sin tanto rollo.
Pero a mediados de octubre se fundió más de la mitad de la tira, después una se ve un poco apagada a comparación de la otra y también parpadean, si la pongo en color azul empieza a parpadear color blanco o rosa o se cambia de color sola.
La verdad si me disgusta un poco pues si esperaba más del producto ;/."
0,No prenden.
1,
1,"El producto es de buena calidad, muy fácil de instalar, todos los foquitos encienden, se ve muy bonito, se puede poner de diferentes colores ya sea con el control remoto o con la aplicación en el celular. Sin duda volvería a comprarlo, lo recomiendo ampliamente."
0,"Mi producto me pareció de mala calidad. No tengo ni 3 semana con ellas y ya están fundidas, no sirven, tenía otra expectativa completamente distinta, quiero la devolución de mi dinero. Anexo foto de evidencia: están apagadas y unas luces se ven encendidas, no funcionan."
1,Muy funcional y un excelente precio.
0,"Muy delgada se rompe con cualquier dobles que le hagas, la intensidad es muy baja. Es difícil soldar ya que es muy delgada y se quema."
1,Exelente calidad; facil instalacion y quedó de maravilla el pegamento que trae se ahdiere facilmente ala pared y sin ningun problema.
0,Biene usado y añadida una parte.
1,Era lo que estaba esperando.
1,Excelente buen producto 👌.
1,Me pareció muy buena la oferta y la instalación del producto fue sencillo y fue mi primera vez en hacer este tipo de instalación así que super recomendado.
0,Son excelentes para su precio 🔥.
1,Primer led que pega en el techo increíble!!!!.
1,"Excelente producto de muy buena calidad, tiene alta intensidad y muy práctica la app."
0,"Salieron defectuosas, a los pocos dias de instalarlas, pesima calidad."
1,"Excelentes las luces, me encantaron y fáciles de colocar, las recomiendo muchisimo la verdad 🙏🏻🙏🏻."
1,La luces están bien la instalación fue muy fácil el pegamento que traei pega muy bien solo tuve un inconveniente en medio de la tira cómo en 8 led el color cambia en o no prenden.
1,"Alcanzó bien para todo al rededor del cuarto, pero vinieron luces rotas (prenden pero no del color que tú seleccionas) la instalación es súper fácil y quedan muy padres."
1,Lo normal me gustaron.
1,"La verdad si me sorprendió ilumina mucho.
Ya ni si quiera tengo que usar el foco ya solo prendo las luces y las cambio a color blanco también tienen un temporizador de 1 2 3 y 4 horas lo que está muy bien porque asi podrías dormír con la luz encendida y solito se apaga y también tiene un modo de reacción con el sonido la verdad gente si se los recomiendo esta muy god."
1,"Buenas por 250 aprox para más precio no valen la pena la luz no es muy intensa pueden ver qué tengo otra luz led abajo y es más potente.
Si lo quieren para ambientar tu recámara están perfectas eso si la pegatina que trae es fuerte así que no se equivoquen en ponerlas.
La app está chafa avances agarra y otras veces no pero es útil por si no encuentran el control."
1,Fácil de instalar y con los soportes que vienen incluidos. Exelente para dar ambiente a un cuarto ya que cubre muy bien con los 30 metros que traen.
1,"Buen producto, excelente iluminación 10/10."
1,Exelente producto gracias.
1,"Todo bien, excelente producto, me encantaron, deecho la luz ilumina mas de lo esperado y me sobraron metros, definitivamente volvería a comprar."
1,
1,Me encantoo super increibles y las instale muy rapido.
1,"Excelente , me encantó sin duda volvería a comprar. Ampliamente recomendado."
1,"Es una delicia de colores la que se puede observar con las tiras led, la potencia y la intensidad de cambio es muy buena, se puede elegir su funcionamiento desde el celular o desde el control que incluye. Me gusta bastante el hecho de que sean 30 metros!!! ojo: vienen dos tiras, cada una de 15 metros, esto me gusta porque en realidad puedes abarcar un área más grande y a la vez toda estar a la par en un mismo ritmo de acuerdo a la programación que elijas, excelente su calidad y precio."
1,"Me encantó, en casa todos están facinados luce super bonito y el efecto con los sonidos super bien."
1,"Muy buena calidad, excelentes materiales, 100% recomendable."
1,Me parecido demaciado bien el producto está muy bien cuidado llega muy bien cerrado y está increíble me gusto mucho gracias.
1,Esta muy bueno pero le falta más potencia.
1,Perfecta las luces.
1,Simplemente perfecto.
1,Me encanto y sobre todo cómo quedo en el cuarto de mi sobrino y aún sobró luces.
1,Son ecxelentes.
1,Excelente.
1,Muy buenooo.
1,"Una muy buena compra la verdad, me gusto los colores y excelente para la decoración de mi cuarto, yo la recomendaría pues 30 metros es bueno por el precio 👍."
1,Bueno.
1,Buen producto lo compre para el cuarto de mi hijo y le gustaron muchos satisfecho con mí compra sólo falta ver cuándo duran pero hasta el momento todo bien.
1,"Excelente producto, funciona perfectamente."
1,Todo perfecto.
1,Se ve muy bien 👍.
1,Muy bueno es como lo esperaba.
1,Es un producto excelente.
1,Ame 😍😍.
1,"Las mejores, era lo que esperaba."
1,Muy bien exelente calidad de iluminación.
1,"Genial. Buena iluminación, diferentes cambios e incluso funciona al ritmo de la música 😊👍🏼."
1,Exelente producto ilumina muy bien.
1,Buen producto fácil de instalar y se ve padrísimo con el control puedes programar el tiempo que quieres que tarde encendido muy bonito la verdad.
1,Me encantó lo recomiendo con una tira me alcanzó para todo el cuarto asta me sobró una nueva la guardaré para cuando se desconponga ya tengo repuesto.
1,"Buenos colores muy brillantes, barato, rapido y su pegamento es super bueno su microfono y aplicacion tambien el control son de muy buena calidad solo que hay un problemita y es q en el sorte saque el 1er lugar pero no me contestan ni en whatsapp ni en correo pero el producto super recomendado la netaa😍😍😍."
1,"Me gustó, aún me falta ponerlas en el lugar que quiero pero, el color que tienen es muy intenso he visto luces que a veces la luz no es tan intensa o se ve opaca. Tiene su control y el control bluetooth, lo único que no tiene son las pz para adaptarlo más que el pegamento que ya vienen en las luces, espero sea suficiente para pegar. De ahí en fuera, estoy satisfecha con mi compra."
1,Muy buena iluminación las fotos las tomé 3n pleno día la foto no capta la luz tal como se ve realmente fácil. De instalar.
1,La verdad las e probado un mes pero siento que me durarán son buena calidad me encantan han pasado ya 9 meses y puedo decir que ya empezaron a fallar pero aun asi las recomiendo pues solo uno que otro led queda prendido con otro color pero su vida util es buena.
1,Super recomendable sin duda las volvere a comprar.
1,"Me encantaron demasiado, se me hizo difícil darles la vuelta para las esquinas, pero lo demás esta bien, se activan con la voz e igual con la música, ame, perfectas para escuchar mis rolitas de bangtan. 😻❤️."
1,Excelente precio calidad.
1,De muy buena calidad!! y excelente precio.
1,Excelente producto lo volvería a comprar muy buena calidad.
1,"Exelente producto muy fácil de colocar y utilizar , quedarán encantados con la calidad 100% recomendable , además de que cuando hablan o hacen cualquier ruido las luces se guian.
Increíble para las habitaciones y salas de estar ,muy buen producto no esperen y compren el suyo ❤️❤️❤️."
1,"Muy bueno, fácil de instalar y buena iluminación para la parte de abajo de muebles."
1,"Muy buena calidad, tiene buena intensidad de luz, los colores son muy llamativos esta en buenas condiciones, super recomendado me gustaron mucho 👌💯."
1,Buen producto eliminan bien chidos además pega bien asta me quitó la pintura cuando lo estaba pegando a la pared y lo volví a despegar para ponerlo derecho y me quitó un poco de pintura pero lo demás excelente se los recomiendo al 100%.
1,"Es un producto que cumple con la necesidad del cliente al igual que tiene una muy buena adherencia a la pared y emite una luz muy buena, sinceramente recomiendo muchoneste producto."
1,Me encanto no tarde nada en ponerlas a especion de que estoy chaparra jsjs me encanta la app y los colores y todas la modalidades.
1,Me pareció genial prende con el ritmo de la música y tbien pone la luz más baja para poder dormir más tranquilo.
1,"Me encantaron, demasiada variedad d colores y demasiado rollo d luces para que no falte."
1,
